rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus
LAL-01,21,1,l_sikapusi,rodent,79,140,78,22,17,40,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-01,1,lalehun,lalehun_1_1_1_21,NA,NA,NA,NA,NA
LAL-02,46,1,crocidura_spp,shrew,39,137,84,20,11,44,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-01,1,lalehun,lalehun_1_1_1_46,NA,NA,NA,NA,NA
LAL-03,102,1,l_striatus,rodent,55,118,123,26,18,29,female,na,na,open,visible,NA,6,y,NA,1,no,2020-12-02,2,lalehun,lalehun_1_1_2_102,NA,NA,NA,NA,NA
LAL-04,106,1,l_sikapusi,rodent,60.5,138,69,22,14,39,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-02,2,lalehun,lalehun_1_1_2_106,NA,NA,NA,NA,NA
LAL-05,184,1,crocidura_spp,shrew,12,84,54,14,9,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,no,2020-12-02,3b,lalehun,lalehun_1_1_3b_184,NA,NA,NA,NA,NA
LAL-06,28,3,m_minutoides,rodent,14,75,58,13,11,24,female,na,na,not_noted,visible,NA,3,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_28,NA,NA,NA,NA,NA
LAL-07,40,3,m_minutoides,rodent,14,78,60,10.4,10,10.5,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_40,NA,NA,NA,NA,NA
LAL-08,45,3,crocidura_spp,shrew,27,120,80,10.6,10,35,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,1,lalehun,lalehun_1_3_1_45,NA,NA,NA,NA,NA
LAL-09,57,2,l_sikapusi,rodent,70,132,34,21,22,35,male,outside,not_noted,na,na,NA,NA,y,cut_tail,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_57,NA,NA,NA,NA,NA
LAL-10,104,2,l_sikapusi,rodent,74,139,60,20,17,35,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_104,NA,NA,NA,NA,NA
LAL-11,105,2,l_sikapusi,rodent,55,124,80,22,19,34,female,na,na,open,barely_visible,NA,0,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_105,NA,NA,NA,NA,NA
LAL-12,134,2,crocidura_spp,shrew,29,119,74,17,11,34,female,na,na,open,visible,NA,3,y,NA,1,yes,2020-12-03,2,lalehun,lalehun_1_2_2_134,NA,NA,NA,NA,NA
LAL-13,184,2,crocidura_spp,shrew,25,117,67,17,10,34,female,na,na,not_noted,not_noted,NA,0,y,NA,1,yes,2020-12-03,3b,lalehun,lalehun_1_2_3b_184,NA,NA,NA,NA,NA
LAL-14,248,1,crocidura_spp,shrew,25,114,50,16,10,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_248,NA,NA,NA,NA,NA
LAL-15,252,1,crocidura_spp,shrew,17,93,55,14,7,25,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_252,NA,NA,NA,NA,NA
LAL-16,263,1,crocidura_spp,shrew,10.1,89,57,14,7,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-03,6,lalehun,lalehun_1_1_6_263,NA,NA,NA,NA,NA
LAL-17,11,4,m_minutoides,rodent,13,73,56,16,12,25,female,na,na,open,not_noted,NA,5,y,NA,1,yes,2020-12-04,1,lalehun,lalehun_1_4_1_11,NA,NA,NA,NA,NA
LAL-18,57,3,l_sikapusi,rodent,67,133,70,23,17,33,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-04,2,lalehun,lalehun_1_3_2_57,NA,NA,NA,NA,NA
LAL-19,59,3,l_sikapusi,rodent,73,132,72,24,17,37,female,na,na,open,not_noted,NA,3,y,NA,1,yes,2020-12-04,2,lalehun,lalehun_1_3_2_59,NA,NA,NA,NA,NA
LAL-20,106,3,crocidura_spp,shrew,13,89,58,17,7,29,male,inside,not_noted,na,na,NA,NA,y,NA,1,no,2020-12-04,2,lalehun,lalehun_1_3_2_106,NA,NA,NA,NA,NA
LAL-21,184,3,crocidura_spp,shrew,25,117,57,18,9,32,female,na,na,open,not_noted,NA,0,y,NA,1,no,2020-12-04,3b,lalehun,lalehun_1_3_3b_184,NA,NA,NA,NA,NA
LAL-22,254,2,crocidura_spp,shrew,13,88,65,15,7,24,male,inside,not_noted,na,na,NA,NA,y,NA,1,no,2020-12-04,6,lalehun,lalehun_1_2_6_254,NA,NA,NA,NA,NA
SEI-001,215,1,malacomys_edwardsi,rodent,42,113,152,26,22,41,female,na,na,open,not_noted,NA,3,y,NA,1,yes,2020-12-05,5,seilama,seilama_1_1_5_215,NA,NA,NA,NA,NA
SEI-002,18,1,m_minutoides,rodent,10,71,58,17,14,27,male,outside,not_noted,na,na,NA,NA,y,NA,1,yes,2020-12-05,1,seilama,seilama_1_1_1_18,NA,NA,NA,NA,NA
SEI-003,44,1,l_sikapusi,rodent,65,130,64,23,17,35,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-05,1,seilama,seilama_1_1_1_44,NA,NA,NA,NA,NA
SEI-004,88,1,l_sikapusi,rodent,74,125,47,23,16,37,male,outside,developed,na,na,NA,NA,y,cut_tail,1,yes,2020-12-05,2,seilama,seilama_1_1_2_88,NA,NA,NA,NA,NA
SEI-005,138,1,malacomys_edwardsi,rodent,53,125,153,27,23,37,female,na,na,open,visible,2,0,y,evidence_previous_pregnancy,1,yes,2020-12-05,3,seilama,seilama_1_1_3_138,NA,NA,NA,NA,NA
SEI-006,147,1,malacomys_edwardsi,rodent,48,128,155,26,21,35,female,na,na,open,visible,2,0,y,lactating,1,no,2020-12-05,3,seilama,seilama_1_1_3_147,NA,NA,NA,NA,NA
SEI-007,177,1,crocidura_spp,shrew,24,106,78,23,9,36,female,na,na,not_noted,not_noted,NA,0,y,NA,1,yes,2020-12-05,4,seilama,seilama_1_1_4_177,NA,NA,NA,NA,NA
SEI-008,8,2,praomys_spp,rodent,53,116,132,27,19,35,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-06,1,seilama,seilama_1_2_1_8,NA,NA,NA,NA,NA
SEI-009,22,2,praomys_spp,rodent,17,85,18,24,17,27,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-06,1,seilama,seilama_1_2_1_22,NA,NA,NA,NA,NA
SEI-010,38,2,crocidura_spp,shrew,33,114,74,24,8,35,male,inside,developed,na,na,NA,NA,y,NA,1,no,2020-12-06,1,seilama,seilama_1_2_1_38,NA,NA,NA,NA,NA
SEI-011,52,2,praomys_spp,rodent,14,78,95,22,16,33,male,outside,developed,na,na,NA,NA,y,NA,1,yes,2020-12-06,2,seilama,seilama_1_2_2_52,NA,NA,NA,NA,NA
SEI-012,103,2,l_striatus,rodent,10,73,73,23,15,28,male,not_noted,developed,na,na,NA,NA,y,NA,1,yes,2020-12-06,3,seilama,seilama_1_2_3_103,NA,NA,NA,NA,NA
