SubmissionDate,date_set,village,visit,grid_number,trap_number,site_use,intensity,crop_type,habitat,proximity,trap_land_type,lon,lat,elevation,key,site_key,number_of_adults,job,number_of_children,roof,walls,floor,containers,sleeping,trap_image,trap_night,trap_uid,rodent_uid,weather,bait_present,trap_sprung,rodent_trapped,line_number,bait_type,notes
2021-06-23,2021-06-23,bambawo,1,1,1,NA,minimal,NA,fallow_land,house path,"Grass,house, path",-11.142686666666666,8.009566666666666,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,bambawo_1_1_1_1,NA,cold,yes,no,no,NA,NA,NA
2021-06-23,2021-06-24,bambawo,1,1,1,NA,minimal,NA,fallow_land,house path,"Grass,house, path",-11.142686666666666,8.009566666666666,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,bambawo_1_2_1_1,NA,rain,yes,no,no,NA,NA,NA
2021-06-23,2021-06-25,bambawo,1,1,1,NA,minimal,NA,fallow_land,house path,"Grass,house, path",-11.142686666666666,8.009566666666666,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,bambawo_1_3_1_1,NA,cold,yes,no,no,NA,NA,NA
2021-06-23,2021-06-26,bambawo,1,1,1,NA,minimal,NA,fallow_land,house path,"Grass,house, path",-11.142686666666666,8.009566666666666,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,bambawo_1_4_1_1,NA,rain,yes,no,no,NA,NA,NA
2021-06-23,2021-06-23,bambawo,1,1,2,NA,minimal,NA,fallow_land,house,"Bush,house",-11.142668333333333,8.00961,293,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,bambawo_1_1_1_2,NA,cold,yes,no,no,NA,NA,NA
2021-06-23,2021-06-24,bambawo,1,1,2,NA,minimal,NA,fallow_land,house,"Bush,house",-11.142668333333333,8.00961,293,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,bambawo_1_2_1_2,NA,rain,yes,no,no,NA,NA,NA
2021-06-23,2021-06-25,bambawo,1,1,2,NA,minimal,NA,fallow_land,house,"Bush,house",-11.142668333333333,8.00961,293,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,bambawo_1_3_1_2,NA,cold,yes,no,no,NA,NA,NA
2021-06-23,2021-06-26,bambawo,1,1,2,NA,minimal,NA,fallow_land,house,"Bush,house",-11.142668333333333,8.00961,293,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,bambawo_1_4_1_2,1_BAM_011,rain,yes,yes,yes,NA,NA,NA
2021-06-23,2021-06-23,bambawo,1,1,3,NA,minimal,NA,fallow_land,house,House,-11.142665,8.009673333333334,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,bambawo_1_1_1_3,NA,cold,yes,no,no,NA,NA,NA
2021-06-23,2021-06-24,bambawo,1,1,3,NA,minimal,NA,fallow_land,house,House,-11.142665,8.009673333333334,294,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,bambawo_1_2_1_3,NA,rain,yes,no,no,NA,NA,NA
