trap_number_shut,PARENT_KEY,KEY
,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb/individual_traps/trap_closed/number_repeat_shut[1]
102,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141/individual_traps/trap_closed/number_repeat_shut[1]
132,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141/individual_traps/trap_closed/number_repeat_shut[2]
50,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77/individual_traps/trap_closed/number_repeat_shut[1]
1,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9/individual_traps/trap_closed/number_repeat_shut[1]
33,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9/individual_traps/trap_closed/number_repeat_shut[2]
4,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9/individual_traps/trap_closed/number_repeat_shut[3]
5,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9/individual_traps/trap_closed/number_repeat_shut[4]
158,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c/individual_traps/trap_closed/number_repeat_shut[1]
162,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c/individual_traps/trap_closed/number_repeat_shut[2]
123,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/trap_closed/number_repeat_shut[1]
117,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/trap_closed/number_repeat_shut[2]
120,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/trap_closed/number_repeat_shut[3]
115,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/trap_closed/number_repeat_shut[4]
50,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a/individual_traps/trap_closed/number_repeat_shut[1]
57,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a/individual_traps/trap_closed/number_repeat_shut[2]
6,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/trap_closed/number_repeat_shut[1]
14,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/trap_closed/number_repeat_shut[2]
48,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/trap_closed/number_repeat_shut[3]
22,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/trap_closed/number_repeat_shut[4]
,uuid:70c77640-2361-4231-ab1b-8124ed0d131f,uuid:70c77640-2361-4231-ab1b-8124ed0d131f/individual_traps/trap_closed/number_repeat_shut[1]
105,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[1]
108,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[2]
142,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[3]
60,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f/individual_traps/trap_closed/number_repeat_shut[1]
65,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f/individual_traps/trap_closed/number_repeat_shut[2]
5,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[1]
25,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[2]
44,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[3]
185,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73/individual_traps/trap_closed/number_repeat_shut[1]
199,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73/individual_traps/trap_closed/number_repeat_shut[2]
151,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[1]
103,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[2]
107,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[3]
