number_of_adults,job,job_other,number_of_children,roof,walls,floor,containers,sleeping,number_of_traps_in_house,traps_houses_count,longitude,latitude,elevation,trap_image,PARENT_KEY,KEY
2,other,Businessman,3,metal_roof,concrete_walls,concrete_floor,no,yes,4,4,7.3437,11.6051,270.0,1634401782239.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[1]
1,farmer,,1,metal_roof,mud_walls,concrete_floor,no,yes,4,4,7.3622,11.6117,274.0,1634402147360.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[2]
5,farmer,,4,metal_roof,mud_walls,mud_walls,no,yes,4,4,7.3673,11.6175,276.0,1634402336896.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[3]
4,farmer,,2,metal_roof,mud_walls,concrete_floor,no,yes,4,4,7.3748,11.6182,275.0,1634402701751.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[4]
3,farmer,,7,metal_roof,mud_walls,mud_walls,no,yes,4,4,7.3704,11.6234,272.0,1634402952901.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[5]
4,farmer,,6,metal_roof,concrete_walls,concrete_floor,yes,yes,4,4,7.3514,11.623,268.0,1634403225316.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[6]
4,farmer,,4,metal_roof,mud_walls,mud_walls,yes,yes,4,4,7.3374,11.6282,269.0,1634403475986.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[7]
2,farmer,,1,metal_roof,mud_walls,mud_walls,no,yes,4,4,7.3293,11.6194,270.0,1634403761367.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[8]
5,farmer,,12,metal_roof,concrete_walls,concrete_floor,no,yes,4,4,7.3228,11.6223,270.0,1634403883011.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[9]
2,farmer,,0,metal_roof,concrete_walls,concrete_floor,no,yes,4,4,7.3189,11.6212,270.0,1634404004283.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[10]
3,farmer,,4,metal_roof,concrete_walls,concrete_floor,no,no,4,4,7.3174,11.6125,271.0,1634404120040.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[11]
2,farmer,,3,metal_roof,concrete_walls,concrete_floor,no,yes,4,4,7.3199,11.6081,271.0,1634404274523.jpg,uuid:f1c393d6-c48f-472b-9838-029004553d45,uuid:f1c393d6-c48f-472b-9838-029004553d45/within_houses/house[12]
3,farmer,,4,metal_roof,mud_walls,concrete_floor,no,yes,4,4,11.8273,4.8067,239.0,1634283162231.jpg,uuid:b9192d3f-efa5-40f8-93b3-d1419fab39ae,uuid:b9192d3f-efa5-40f8-93b3-d1419fab39ae/within_houses/house[1]
8,farmer,,6,metal_roof,mud_walls,concrete_floor,no,no,4,4,11.8114,4.7842,236.0,1634283701699.jpg,uuid:b9192d3f-efa5-40f8-93b3-d1419fab39ae,uuid:b9192d3f-efa5-40f8-93b3-d1419fab39ae/within_houses/house[2]
