name,group,weight_mean,weight_min,weight_max,head_body_mean,head_body_min,head_body_max,tail_mean,tail_min,tail_max,hind_foot_mean,hind_foot_min,hind_foot_max,ear_mean,ear_min,ear_max,length_skull_mean,length_skull_min,length_skull_max,source
epixerus_ebii,squirrels,470.3,346,543,263.8,240,280,283.8,260,320,65.1,62.3,68.3,19.4,18,20,68.4,64.9,70.5,mondadjem
funisciurus_pyrropus,squirrels,241.6,187,289,198.8,183,215,178,154,210,46.2,41,52,17.8,11.7,20,49,46.7,51.9,mondadjem
heliosciurus_gambianus,squirrels,245.6,157,325,205.5,188,230,248,200,305,50.2,45,54,14.8,10,18,47.4,42.5,51.6,mondadjem
heliosciurus_punctatus,squirrels,145.5,119,163,186.7,155,206,227.3,202,270,46.7,44,51,15.2,13,17,45,41.3,48,mondadjem
heliosciurus_rufobrachium,squirrels,329.3,250,388,227.7,193,256,267.3,203,320,53.9,47,60,15.7,10,19,52.1,46.3,56.8,mondadjem
paraxerus_poensis,squirrels,171.3,114,346,157.9,132,179,184.6,106,218,40,32,41,12.8,10,17,40.5,34.7,43.5,mondadjem
allosciurus_aubinii,squirrels,470.7,429,498,253,240,267,295,273,310,54.5,52,57,20.1,19,21,59.2,58.5,60.1,mondadjem
protoxerus_stangeri,squirrels,616.8,393,716,276.7,210,310,316.8,230,394,64.9,60,72,21.4,15,25,66.4,62,70.5,mondadjem
graphiurus_crassicaudatus,dormice,23.6,19,29,88.9,77,100,58.4,53,70,16.4,13,19,12,7,15,25.6,24.1,27.8,mondadjem
graphiurus_lorraineus,dormice,16.8,12,24,80.5,70,93,66.8,45,77,16.5,13,19,12.4,9,15,24.5,22.7,26.2,mondadjem
graphiurus_nagtglasii,dormice,70.2,62,77,132.4,108,160,126,102,160,27.3,24,31,19.4,16,22,36.3,32.9,39.9,mondadjem
cricetomys_emini,rodent,1000,800,1200,328.5,300,355,381.6,320,429,67.7,64,71,38.1,33,45,70.3,59.5,77.2,mondadjem
lophuromys_sikapusi,rodent,63.7,34,87,129.9,110,145,69,58,75,23,20,25,16.2,14,18,31.1,27.6,33.5,mondadjem
uranomys_ruddi,rodent,33.1,26,43,106.4,95,119,68.6,60,73,17.1,16,19,13.4,10,15,26.4,25,27.7,mondadjem
gerbilliscus_guinea,rodent,72.8,50,136,140.9,102,178,173.5,151,198,33,28,38,20.7,18,24,35,33,37.5,mondadjem
gerbilliscus_kempi,rodent,97.3,74,128,154.1,125,184,152.7,115,188,35.5,32,41,19.6,17,23,40.1,36.3,43.3,mondadjem
arvicanthis_niloticus,rodent,114.8,89,160,156.6,127,188,129.6,92,155,33,30,36,18.3,13,22,34.9,29.8,40.2,mondadjem
dasymys_rufulus,rodent,100,80,120,141,122,159,139,131,152,28.5,25,31,19,15,23,34.4,32.5,37.2,mondadjem
dephomys_defua,rodent,62.5,57,68,124.8,112,136,191,184,195,26.3,25,27,17.9,16,20,32.5,28.4,35,mondadjem
grammomys_buntingi,rodent,NA,NA,NA,114.4,100,125,170,165,180,25,24,26,18.4,16,20,30,28.6,31.4,mondadjem
hybomys_planifrons,rodent,51,46,60,124,120,130,97,91,104,30.6,28,32,17.4,16,19,32.8,32,33.8,mondadjem
