village,visit,date_set,trap_night,grid_number,line_number,trap_number,bait_type,habitat,trap_land_type,elevation,trap_uid,empty_morning,bait_present,trap_sprung,rodent_trapped,rodent_id,weather,notes,lon,lat
lalehun,1,2020-11-30T00:00:00Z,1,1,1,1,oats,village_periphery,"bush, by_path",856,lalehun_1_1_1_1,y,y,n,n,na,rain,"NA",-11.07945,8.196683333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,1,2,oats,village_periphery,"bush, by_tree",855,lalehun_1_1_1_2,y,y,n,n,na,rain,"NA",-11.079516666666667,8.1966
lalehun,1,2020-11-30T00:00:00Z,1,1,1,3,oats,village_periphery,"bush, by_path",857,lalehun_1_1_1_3,y,y,n,n,na,rain,"NA",-11.079533333333334,8.19655
lalehun,1,2020-11-30T00:00:00Z,1,1,1,4,oats,village_periphery,low_shrubs,854,lalehun_1_1_1_4,y,y,n,n,na,rain,"NA",-11.079566666666667,8.196533333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,1,5,oats,village_periphery,"low_shrubs, by_path",849,lalehun_1_1_1_5,y,y,n,n,na,rain,"NA",-11.079566666666667,8.19645
lalehun,1,2020-11-30T00:00:00Z,1,1,1,6,oats,village_periphery,"shrubs, by_path, oil_palm_plantation",844,lalehun_1_1_1_6,y,n,y,n,na,rain,"NA",-11.079566666666667,8.196383333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,1,7,oats,village_periphery,"by_tree, oil_palm_plantation",837,lalehun_1_1_1_7,y,n,y,n,na,rain,"NA",-11.079583333333334,8.19635
lalehun,1,2020-11-30T00:00:00Z,1,1,2,8,oats,village_periphery,"shrubs, edge_oil_palm_plantation",830,lalehun_1_1_1_8,y,y,n,n,na,rain,"NA",-11.0795,8.196316666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,2,9,oats,village_periphery,shrubs,832,lalehun_1_1_1_9,y,y,n,n,na,rain,"NA",-11.079483333333334,8.196366666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,2,10,oats,village_periphery,"shrubs, by_path",833,lalehun_1_1_1_10,y,y,n,n,na,rain,"NA",-11.079383333333332,8.196416666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,2,11,oats,village_periphery,shrubs,831,lalehun_1_1_1_11,y,y,n,n,na,rain,"NA",-11.0794,8.19645
lalehun,1,2020-11-30T00:00:00Z,1,1,2,12,oats,village_periphery,grass,823,lalehun_1_1_1_12,y,n,n,n,na,rain,"NA",-11.0794,8.196533333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,2,13,oats,village_periphery,"shrubs, by_path",823,lalehun_1_1_1_13,y,y,n,n,na,rain,"NA",-11.079333333333333,8.19655
lalehun,1,2020-11-30T00:00:00Z,1,1,2,14,oats,village_periphery,"shrubs, by_path",821,lalehun_1_1_1_14,y,n,n,n,na,rain,"NA",-11.079316666666667,8.196616666666667
lalehun,1,2020-11-30T00:00:00Z,1,1,3,15,oats,village_periphery,"shrubs, by_path",820,lalehun_1_1_1_15,y,y,n,n,na,rain,"NA",-11.079266666666667,8.1966
lalehun,1,2020-11-30T00:00:00Z,1,1,3,16,oats,village_periphery,shrubs,817,lalehun_1_1_1_16,y,y,n,n,na,rain,"NA",-11.07935,8.19655
lalehun,1,2020-11-30T00:00:00Z,1,1,3,17,oats,village_periphery,shrubs,816,lalehun_1_1_1_17,y,y,n,n,na,rain,"NA",-11.079366666666667,8.196483333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,3,18,oats,village_periphery,leaf_litter,813,lalehun_1_1_1_18,y,y,n,n,na,rain,"NA",-11.079383333333332,8.196416666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,3,19,oats,village_periphery,by_tree,809,lalehun_1_1_1_19,y,n,n,n,na,rain,"NA",-11.079383333333332,8.19635
lalehun,1,2020-11-30T00:00:00Z,1,1,3,20,oats,village_periphery,bush,804,lalehun_1_1_1_20,y,y,n,n,na,rain,"NA",-11.07945,8.196333333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,3,21,oats,village_periphery,bush,799,lalehun_1_1_1_21,n,n,y,y,LAL-01,rain,"NA",-11.079483333333334,8.196283333333334
lalehun,1,2020-11-30T00:00:00Z,1,1,4,22,oats,village_periphery,leaf_litter,789,lalehun_1_1_1_22,y,y,n,n,na,rain,"NA",-11.0794,8.196266666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,4,23,oats,village_periphery,leaf_litter,794,lalehun_1_1_1_23,y,y,n,n,na,rain,"NA",-11.0794,8.1963
lalehun,1,2020-11-30T00:00:00Z,1,1,4,24,oats,village_periphery,low_grass,799,lalehun_1_1_1_24,y,y,n,n,na,rain,"NA",-11.079333333333333,8.1964
lalehun,1,2020-11-30T00:00:00Z,1,1,4,25,oats,village_periphery,low_grass,799,lalehun_1_1_1_25,y,y,n,n,na,rain,"NA",-11.079316666666667,8.1964
lalehun,1,2020-11-30T00:00:00Z,1,1,4,26,oats,village_periphery,"by_tree, by_path",801,lalehun_1_1_1_26,y,y,n,n,na,rain,"NA",-11.0793,8.196433333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,4,27,oats,village_periphery,"near_structure, old_latrine",799,lalehun_1_1_1_27,y,y,n,n,na,rain,"NA",-11.07925,8.196466666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,4,28,oats,village_periphery,"near_structure, old_latrine",798,lalehun_1_1_1_28,y,n,n,n,na,rain,"NA",-11.0792,8.196516666666668
lalehun,1,2020-11-30T00:00:00Z,1,1,5,29,oats,village_periphery,low_bush,796,lalehun_1_1_1_29,y,y,n,n,na,rain,"NA",-11.07915,8.196483333333333
lalehun,1,2020-11-30T00:00:00Z,1,1,5,30,oats,village_periphery,leaf_litter,793,lalehun_1_1_1_30,y,y,y,n,na,rain,"NA",-11.0792,8.196466666666666
lalehun,1,2020-11-30T00:00:00Z,1,1,5,31,oats,village_periphery,"shrubs, by_path",789,lalehun_1_1_1_31,y,y,n,n,na,rain,"NA",-11.079233333333333,8.1964
